AirlineID,Name
0,AirOneAtlantic
0A,AmberAir
0B,BlueAir
0D,DarwinAirline
0J,Jetclub
0X,CopenhagenExpress
1,BobbAirFreight
10,CanadianWorld
11,TUIfly(X3)
12,12North
13,EasternAtlanticVirtualAirlines
1A,AmadeusGlobalTravelDistribution
1B,AbacusInternational
1C,OneChina
1D,RadixxSolutionsInternational
1E,TravelskyTechnology
1F,CBAirwaysUK(InterligingFlights)
1G,GalileoInternational
1H,HellenicAirways
1I,SkyTrekInternationalAirlines
1K,Sutra
1L,OpenSkiesConsultativeCommission
1M,JSCTransportAutomatedInformationSystems
1N,Navitaire
1P,Worldspan
1Q,Sirena
1R,HainanPhoenixInformationSystems
1S,Sabre
1T,1TimeAirline
1U,PolyotSirena
1Z,SabrePacific
20,AirSalone
24,EuroJet
2A,DeutscheBahn
2B,Aerocondor
2C,SNCF
2D,AeroVIP(2D)
2F,FrontierFlyingService
2G,SanJuanAirlines
2H,Thalys
2I,StarPeru(2I)
2J,AirBurkina
2K,AerolineasGalapagos(Aerogal)
2L,HelveticAirways
2M,MoldavianAirlines
2N,NextJet
2O,AirSalone
2P,AirPhilippines
2Q,AirCargoCarriers
2R,VIARailCanada
2S,StarEquatorialAirlines
2T,HaitiAmbassadorAirlines
2U,AirGuineeExpress
2W,WelcomeAir
2X,RegionaliaUruguay
2Z,ChanganAirlines
3B,JobAir
3C,RegionsAir
3E,AirChoiceOne
3F,FlyColombia(InterligingFlights)
3G,Atlant-SoyuzAirlines
3I,AirCometChile
3J,Zip
3K,JetstarAsiaAirways
3L,Intersky
3N,AirUrga
3O,AirArabiaMaroc
3P,TiaraAir
3Q,YunnanAirlines
3R,MoskoviaAirlines
3S,AirAntillesExpress
3T,TuranAir
3U,SichuanAirlines
3V,3ValleysAirlines
3W,MalawianAirlines
4,AntrakAir
47,88
4A,AirKiribati
4C,Aires
4D,AirSinai
4F,AirCity
4G,Gazpromavia
4H,UnitedAirways
4K,AskariAviation
4L,Euroline
4M,LANArgentina
4N,AirNorthCharter-Canada
4O,Interjet(ABCAerolineas)
4P,BusinessAviation
4Q,SafiAirlines
4R,HamburgInternational
4S,FinalairCongo
4T,BelairAirlines
4U,Germanwings
4X,RedJetMexico
4Y,AirbusFrance
4Z,Airlink(SAA)
5A,AlpineAirExpress
5C,CALCargoAirLines
5D,DonbassAero
5E,SGAAirlines
5F,ArcticCircleAirService
5G,SkyserviceAirlines
5H,Fly540
5J,CebuPacific
5K,HiFly(5K)
5L,Aerosur
5M,Sibaviatrans
5N,Aeroflot-Nord
5P,Palairlines
5Q,BQBLineasAereas
5T,CanadianNorth
5V,LvivAirlines
5W,Astraeus
5X,UnitedParcelService
5Y,AtlasAir
5Z,VivaColombia
69,RoyalEuropeanAirlines
6A,ConsorcioAviaxsa
6B,TUIflyNordic
6C,VuelaCuba
6D,Pelita
6E,IndiGoAirlines
6F,MATAirways
6G,AirWales
6H,Israir
6I,Fly6ix
6J,SkynetAsiaAirways
6K,AsianSpirit
6N,NordicRegional
6P,GryphonAirlines
6Q,SlovakAirlines
6R,AlrosaMirnyAirEnterprise
6T,AirMandalay
6U,AirCargoGermany
6V,MarsRK
6W,SaratovAviationDivision
6Y,SmartLynxAirlines
6Z,UkrainianCargoAirways
7,SamuraiAirlines
76,Southjet
77,Southjetconnect
78,Southjetcargo
7A,AztecWorldwideAirlines
7B,KrasnojarskyAirlines
7C,JejuAir
7E,AerolineGmbH
7F,FirstAir
7G,StarFlyer
7H,EraAlaska
7I,InselAir(7I/INC)(Priv)
7J,TajikAir
7K,KogalymaviaAirCompany
7L,SunD'Or
7M,MongolianInternationalAirLines
7N,Centavia
7O,AllColombia
7P,MetroBatavia
7Q,PanAmWorldAirwaysDominicana
7R,BRA-TransportesAereos
7T,TobrukAir
7W,Wayraper
7Y,MedAirways
7Z,Halcyonair
88,AllAustralia
8A,AtlasBlue
8B,BusinessAir
8C,ShanxiAirlines
8D,ServantAir
8E,BeringAir
8F,STPAirways
8H,HeliFrance
8I,MywayAirlines
8J,Komiinteravia
8K,Voestar
8L,RedhillAviation
8M,MyanmarAirwaysInternational
8N,BarentsAirLink
8O,WestCoastAir
8P,PacificCoastalAirline
8Q,MaldivianAirTaxi
8R,TRIPLinhasA
8S,ScorpioAviation
8T,AirTindi
8U,AfriqiyahAirways
8V,WrightAirService
8W,PrivateWingsFlugcharter
8Y,ChinaPostalAirlines
8Z,WizzAirHungary
8z,LineaAereadeServicioEjecutivoRegional
99,CiaoAir
9A,AllAfrica
9C,ChinaSSS
9E,PinnacleAirlines
9F,TrammAirlines
9H,MDLRAirlines
9I,ThaiSkyAirlines
9J,RegionaliaChile
9K,CapeAir
9L,ColganAir
9N,RegionalAirIceland
9O,NationalAirwaysCameroon
9P,Pelangi
9Q,PBAir
9R,SATENA
9S,SpringAirlines
9T,TranswestAir
9U,AirMoldova
9W,JetAirways
9X,RegionaliaVenezuela
9Y,AirKazakhstan
;;,WildernessAir
??,BritishAirFerries
A1,Atifly
A2,AllAmerica
A3,AegeanAirlines
A4,SouthernWindsAirlines
A5,Airlinair
A6,AirAlpsAviation(A6)
A7,AirPlusComet
A8,BeninGolfAir
A9,GeorgianAirways
AA,AmericanAirlines
AB,AirBerlin
AC,AirCanada
AD,Azul
AE,MandarinAirlines
AF,AirFrance
AG,AirContractors
AH,AirAlgerie
AI,AirIndiaLimited
AJ,AeroContractors
AK,AirAsia
AL,Transaviaexport
AM,AeroMéxico
AN,AnsettAustralia
AO,Avianova(Russia)
AP,AirOne
AQ,AlohaAirlines
AR,AerolineasArgentinas
AS,AlaskaAirlines
AT,RoyalAirMaroc
AU,AustralLineasAereas
AV,Avianca-AeroviasNacionalesdeColombia
AW,AsianWingsAirways
AX,TransStatesAirlines
AY,Finnair
AZ,Alitalia
B0,Awsexpress
B1,BalticAirlines
B2,BelaviaBelarusianAirlines
B3,BellviewAirlines
B4,Flyglobespan
B5,Flightline
B6,JetBlueAirways
B7,UniAir
B8,EritreanAirlines
B9,AirBangladesh
BA,BritishAirways
BB,SeaborneAirlines
BC,SkymarkAirlines
BD,bmi
BE,Flybe
BF,BluebirdCargo
BG,BimanBangladeshAirlines
BH,Hawkair
BI,RoyalBruneiAirlines
BJ,NouvelAirTunisie
BK,PotomacAir
BL,JetstarPacific
BM,bmiregional
BN,HorizonAirlines
BO,BouraqIndonesiaAirlines
BP,AirBotswana
BQ,BuquebusLíneasAéreas
BR,EVAAir
BS,BritishInternationalHelicopters
BT,AirBaltic
BU,BaikotovitchestrianAirlines
BV,BluePanoramaAirlines
BW,CaribbeanAirlines
BX,AirBusan
BY,Thomsonfly
BZ,BlackStallionAirways
C0,Centralwings
C1,CanXpress
C2,CanXplorer
C3,QatXpress
C4,LionXpress
C5,CommutAir
C6,CanJet
C7,SkyWingPacific
C8,ChicagoExpress(C8)
C9,CirrusAirlines
CA,AirChina
CB,CCMLAirlines
CC,MacairAirlines
CD,AirIndiaRegional
CE,NationwideAirlines
CF,CityAirline
CG,AirlinesPNG
CH,BemidjiAirlines
CI,ChinaAirlines
CJ,BACityFlyer
CK,ChinaCargoAirlines
CL,LufthansaCityLine
CM,CopaAirlines
CN,CanadianNationalAirways
CO,ContinentalExpress
CP,CompassAirlines
CQ,SOCHIAIR
CR,AirOps
CS,ContinentalMicronesia
CT,AlitaliaCityliner
CU,CubanadeAviación
CV,Cargolux
CW,AirMarshallIslands
CX,CathayPacific
CY,CyprusAirways
CZ,ChinaSouthernAirlines
D1,DomenicanAirlines
D3,DaalloAirlines
D4,Alidaunia
D5,NEPCAirlines
D6,InterairSouthAfrica
D7,AirAsiaX
D8,DjiboutiAirlines
D9,Aeroflot-Don
DA,DanaAir
DB,BritAir
DC,GoldenAir
DD,NokAir
DE,CondorFlugdienst
DF,MichaelAirlines
DG,SouthEastAsianAirlines
DH,DennisSky
DI,dba
DJ,VirginBlue
DK,EastlandAir
DL,DeltaAirLines
DM,Maersk
DN,SenegalAirlines
DO,DominicanadeAviaci
DP,FirstChoiceAirways
DQ,CoastalAir
DR,AirMediterranee
DS,EasyJet(DS)
DT,TAAGAngolaAirlines
DU,HemusAir
DV,ScatAir
DW,DeutscheLuftverkehrsgesellschaft
DX,DATDanishAirTransport
DY,NorwegianAirShuttle
DZ,Starline.kz
E0,EosAirlines
E1,UsaSkyCargo
E2,RioGrandeAir
E3,DomodedovoAirlines
E4,ElysianAirlines
